matrix_id,rhs_file,n,nnz,k,converged,reason,its,residual,time
30,mat_30.txt,mat_30.mtx,rhs_30_5.bin,1,True,2,27,5.878216913244939e-09,0.0008527919999323785
30,mat_30.txt,mat_30.mtx,rhs_30_5.bin,2,True,2,18,3.6372130257567874e-09,0.000814377999631688
30,mat_30.txt,mat_30.mtx,rhs_30_5.bin,3,True,2,12,2.471037355332753e-08,0.0010287279992553522
30,mat_30.txt,mat_30.mtx,rhs_30_6.bin,0,True,2,34,2.6032996472688984e-09,0.0009990440003093681
30,mat_30.txt,mat_30.mtx,rhs_30_6.bin,1,True,2,27,2.7336041131057167e-09,0.0009857750001174281
30,mat_30.txt,mat_30.mtx,rhs_30_6.bin,2,True,2,18,2.6899899639776923e-09,0.0007978949997777818
30,mat_30.txt,mat_30.mtx,rhs_30_6.bin,3,True,2,12,1.5817240626593075e-08,0.0009808849999899394
45,mat_45.txt,mat_45.mtx,rhs_45_1.bin,0,True,2,32,7.566588775423495e-11,0.0008167530004357104
45,mat_45.txt,mat_45.mtx,rhs_45_1.bin,1,True,2,26,5.5031246970484127e-11,0.0007645089999641641
45,mat_45.txt,mat_45.mtx,rhs_45_1.bin,2,True,2,18,4.574362767236615e-11,0.000740901999961352
45,mat_45.txt,mat_45.mtx,rhs_45_1.bin,3,True,2,12,3.3372752033549826e-10,0.0008534210001016618
45,mat_45.txt,mat_45.mtx,rhs_45_2.bin,0,True,2,32,3.335234505697018e-10,0.0007043740006338339
45,mat_45.txt,mat_45.mtx,rhs_45_2.bin,1,True,2,26,1.910806355375584e-10,0.0007414609999614186
45,mat_45.txt,mat_45.mtx,rhs_45_2.bin,2,True,2,18,1.6809876665434016e-10,0.0007392959996650461
45,mat_45.txt,mat_45.mtx,rhs_45_2.bin,3,True,2,12,7.263911217819178e-10,0.0008441310001217062
45,mat_45.txt,mat_45.mtx,rhs_45_3.bin,0,True,2,32,1.2214479854240332e-09,0.0006880310002088663
45,mat_45.txt,mat_45.mtx,rhs_45_3.bin,1,True,2,25,2.419328909889963e-09,0.0006995550002102391
45,mat_45.txt,mat_45.mtx,rhs_45_3.bin,2,True,2,17,2.5127680674579107e-09,0.0006843290002507274
45,mat_45.txt,mat_45.mtx,rhs_45_3.bin,3,True,2,12,2.5866808047800256e-09,0.0008440609999524895
45,mat_45.txt,mat_45.mtx,rhs_45_4.bin,0,True,2,30,4.248347643177967e-09,0.0006515019995276816
45,mat_45.txt,mat_45.mtx,rhs_45_4.bin,1,True,2,25,3.0771471961346104e-09,0.000700532999871939
45,mat_45.txt,mat_45.mtx,rhs_45_4.bin,2,True,2,17,4.370529069706875e-09,0.0006899859999975888
45,mat_45.txt,mat_45.mtx,rhs_45_4.bin,3,True,2,11,5.007541288474321e-08,0.0007946120003907708
45,mat_45.txt,mat_45.mtx,rhs_45_5.bin,0,True,2,31,7.203674044794303e-09,0.0006766460001017549
45,mat_45.txt,mat_45.mtx,rhs_45_5.bin,1,True,2,25,7.980220024946831e-09,0.0007049320001897286
45,mat_45.txt,mat_45.mtx,rhs_45_5.bin,2,True,2,17,9.780847994609108e-09,0.0006862840000394499
45,mat_45.txt,mat_45.mtx,rhs_45_5.bin,3,True,2,12,6.112698740214345e-09,0.0008029930004340713
45,mat_45.txt,mat_45.mtx,rhs_45_6.bin,0,True,2,31,8.964790543783357e-09,0.0006902650002302835
45,mat_45.txt,mat_45.mtx,rhs_45_6.bin,1,True,2,25,5.8201158513061975e-09,0.0007297279998965678
45,mat_45.txt,mat_45.mtx,rhs_45_6.bin,2,True,2,17,1.0630510143350616e-08,0.0006850270001450554
45,mat_45.txt,mat_45.mtx,rhs_45_6.bin,3,True,2,12,5.052536228402949e-09,0.0008067649996519322
45,mat_45.txt,mat_45.mtx,rhs_45_7.bin,0,True,2,31,7.855256183647601e-09,0.0006937569996807724
45,mat_45.txt,mat_45.mtx,rhs_45_7.bin,1,True,2,25,6.234129662155606e-09,0.000719041000593279
45,mat_45.txt,mat_45.mtx,rhs_45_7.bin,2,True,2,17,6.119470407875165e-09,0.000719250000656757
45,mat_45.txt,mat_45.mtx,rhs_45_7.bin,3,True,2,11,7.396548046380085e-08,0.0008060669997576042
45,mat_45.txt,mat_45.mtx,rhs_45_8.bin,0,True,2,32,1.265788522599659e-08,0.0006934079992788611
45,mat_45.txt,mat_45.mtx,rhs_45_8.bin,1,True,2,25,3.16914239131452e-08,0.000719110999853001
45,mat_45.txt,mat_45.mtx,rhs_45_8.bin,2,True,2,17,3.9145111876525076e-08,0.0007087039994075894
45,mat_45.txt,mat_45.mtx,rhs_45_8.bin,3,True,2,12,3.336278424288988e-08,0.0008454590006294893
45,mat_45.txt,mat_45.mtx,rhs_45_9.bin,0,True,2,31,1.2440316664839582e-08,0.0006919419993209885
45,mat_45.txt,mat_45.mtx,rhs_45_9.bin,1,True,2,25,1.0249359526206467e-08,0.0007140130001062062
45,mat_45.txt,mat_45.mtx,rhs_45_9.bin,2,True,2,17,1.3468903385862956e-08,0.0006992059998083278
45,mat_45.txt,mat_45.mtx,rhs_45_9.bin,3,True,2,12,2.5586999684963462e-08,0.0008116540002447437
45,mat_45.txt,mat_45.mtx,rhs_45_10.bin,0,True,2,31,2.399469357416694e-08,0.000681464999615855
45,mat_45.txt,mat_45.mtx,rhs_45_10.bin,1,True,2,25,2.203235807543019e-08,0.0007075170005919063
45,mat_45.txt,mat_45.mtx,rhs_45_10.bin,2,True,2,17,4.521224986853262e-08,0.0006758079998689936
45,mat_45.txt,mat_45.mtx,rhs_45_10.bin,3,True,2,12,3.936453165099354e-08,0.0008258320003733388
